@relation InstanceResultListener

@attribute Key_Dataset {'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities','-C 10.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities','-C 100.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities','-C 1000.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities'}
@attribute Key_Scheme_version_ID {-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0017,12023,1336,1300,36,0,97.305389,2.694611,0,0.946108,0.026946,0.164153,5.389222,32.830539,1336.000007,38664,-37327.999993,1,28.94012,-27.94012,1264.000006,0.946108,94.610778,0.949102,634,0.002994,2,0.997006,666,0.050898,34,0.996855,0.949102,0.972393,0.947195,0.973054,0.971566,0.973054,0.026946,0.973054,0.026946,0.974142,0.973054,0.973038,0.947195,0.973054,0.960822,0.973038,0.973054,10.525,0.276,10.34375,0.28125,10343.75,281.25,3543527,3141313,352006,97.305389,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0017,12023,1336,1287,49,0,96.332335,3.667665,0,0.926647,0.036677,0.191511,7.335329,38.302296,1336.000007,52626,-51289.999993,1,39.390719,-38.390719,1238.000006,0.926647,92.664671,0.941617,629,0.01497,10,0.98503,658,0.058383,39,0.984351,0.941617,0.96251,0.927521,0.963323,0.956073,0.963323,0.036677,0.963323,0.036677,0.964198,0.963323,0.963306,0.927521,0.963323,0.946736,0.963306,0.963323,10.966,0.306,10.65625,0.296875,10656.25,296.875,3543527,3141313,352006,96.332335,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1296,40,0,97.005988,2.994012,0,0.94012,0.02994,0.173032,5.988024,34.606427,1336.000007,42960,-41623.999993,1,32.155689,-31.155689,1256.000006,0.94012,94.011976,0.949102,634,0.008982,6,0.991018,662,0.050898,34,0.990625,0.949102,0.969419,0.940947,0.97006,0.965653,0.97006,0.02994,0.97006,0.02994,0.970887,0.97006,0.970047,0.940947,0.97006,0.956375,0.970047,0.97006,10.716,0.226,10.671875,0.21875,10671.875,218.75,3543527,3141313,352006,97.005988,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1292,44,0,96.706587,3.293413,0,0.934132,0.032934,0.181478,6.586826,36.295527,1336.000007,47256,-45919.999993,1,35.371257,-34.371257,1248.000006,0.934132,93.413174,0.941617,629,0.007485,5,0.992515,663,0.058383,39,0.992114,0.941617,0.966206,0.935344,0.967066,0.963382,0.967066,0.032934,0.967066,0.032934,0.968279,0.967066,0.967045,0.935344,0.967066,0.95225,0.967045,0.967066,10.32,0.231,10.21875,0.234375,10218.75,234.375,3543527,3141313,352006,96.706587,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1287,49,0,96.332335,3.667665,0,0.926647,0.036677,0.191511,7.335329,38.302296,1336.000007,52626,-51289.999993,1,39.390719,-38.390719,1238.000006,0.926647,92.664671,0.952096,636,0.025449,17,0.974551,651,0.047904,32,0.973966,0.952096,0.962907,0.92688,0.963323,0.951261,0.963323,0.036677,0.963323,0.036677,0.963557,0.963323,0.963319,0.92688,0.963323,0.946439,0.963319,0.963323,10.651,0.266,10.546875,0.265625,10546.875,265.625,3543527,3141313,352006,96.332335,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1286,50,0,96.257485,3.742515,0,0.92515,0.037425,0.193456,7.48503,38.691161,1336.000007,53700,-52363.999993,1,40.194611,-39.194611,1236.000006,0.92515,92.51497,0.938623,627,0.013473,9,0.986527,659,0.061377,41,0.985849,0.938623,0.961656,0.926213,0.962575,0.956029,0.962575,0.037425,0.962575,0.037425,0.963639,0.962575,0.962553,0.926213,0.962575,0.945755,0.962553,0.962575,10.311,0.242,10.21875,0.234375,10218.75,234.375,3543527,3141313,352006,96.257485,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1299,37,0,97.230539,2.769461,0,0.944611,0.027695,0.166417,5.538922,33.283396,1336.000007,39738,-38401.999993,1,29.744012,-28.744012,1262.000006,0.944611,94.461078,0.952096,636,0.007485,5,0.992515,663,0.047904,32,0.9922,0.952096,0.971734,0.945383,0.972305,0.968621,0.972305,0.027695,0.972305,0.027695,0.973078,0.972305,0.972294,0.945383,0.972305,0.95959,0.972294,0.972305,9.826,0.234,9.765625,0.234375,9765.625,234.375,3543527,3141313,352006,97.230539,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0018,12023,1336,1293,43,0,96.781437,3.218563,0,0.935629,0.032186,0.179404,6.437126,35.880707,1336.000007,46182,-44845.999993,1,34.567365,-33.567365,1250.000006,0.935629,93.562874,0.947605,633,0.011976,8,0.988024,660,0.052395,35,0.98752,0.947605,0.96715,0.936394,0.967814,0.961976,0.967814,0.032186,0.967814,0.032186,0.96858,0.967814,0.967801,0.936394,0.967814,0.953116,0.967801,0.967814,9.878,0.236,9.8125,0.234375,9812.5,234.375,3543527,3141313,352006,96.781437,50,?
'flows_normalized-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R26-61-weka.filters.unsupervised.attribute.Remove-R34,61,39,56,44,50,49,53,6,48,47,65,59,54,5,46,31,36,25,43,51,35,32,58,40,38,45,52,41,26,27,64,62,28,57,55,33-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R29',1,9,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\" -output-debug-info -do-not-check-capabilities',-6585883636378691736,20190901.0019,12023,1336,1295,41,0,96.931138,3.068862,0,0.938623,0.030689,0.175182,6.137725,35.036337,1336.000007,44034,-42697.999993,1,32.959581,-31.959581,1254.000006,0.938623,93.862275,0.943114,630,0.004491,3,0.995509,665,0.056886,38,0.995261,0.943114,0.968486,0.939914,0.969311,0.967087,0.969311,0.030689,0.969311,0.030689,0.970603,0.969311,0.96929,0.939914,0.969311,0.955515,0.96929,0.969311,10.051,0.272,9.984375,0.265625,9984.375,265.625,3543527,3141313,352006,96.931138,50,?
